frame,src,conf,score,orange,shape,maha,misses,eff_min_conf,eff_imgsz,eff_chi2,nb_boxes_full,nb_players
240,,,,,,,0,0.03,960,9.21,0,0
241,,,,,,,0,0.03,960,9.21,0,0
242,,,,,,,0,0.03,960,9.21,0,0
243,,,,,,,0,0.03,960,9.21,0,0
244,,,,,,,0,0.03,960,9.21,0,0
245,,,,,,,0,0.03,960,9.21,0,0
246,,,,,,,0,0.03,960,9.21,0,0
247,,,,,,,0,0.03,960,9.21,0,0
248,,,,,,,0,0.03,960,9.21,0,0
249,FULL,0.06863267719745636,0.5430960862547092,0.5226244343891403,0.7415235245441357,,0,0.03,960,9.21,1,0
250,,,,,,,0,0.03,960,9.21,0,0
251,,,,,,,0,0.03,960,9.21,0,0
252,,,,,,,0,0.03,960,9.21,0,0
253,,,,,,,0,0.03,960,9.21,0,0
254,,,,,,,0,0.03,960,9.21,0,0
255,FULL,0.6838667988777161,1.3124767963002055,0.4729411764705882,0.774013910231902,,0,0.03,960,9.21,3,0
256,FULL,0.12092220038175583,0.4366489076716764,0.03695491500369549,0.5585652222678478,,0,0.03,960,9.21,1,0
257,FULL,0.7800677418708801,1.2761402953874286,0.33578431372549017,0.808160820172677,,0,0.03,960,9.21,2,0
258,FULL,0.8563566207885742,1.308002820570414,0.448559670781893,0.7620789673840052,,0,0.03,960,9.21,3,0
259,FULL,0.8339795470237732,1.338987037731441,0.49572649572649574,0.8362215940140979,,0,0.03,960,9.21,2,0
260,FULL,0.04268903657793999,0.5527461554086555,0.7270588235294118,0.6325101331674645,,0,0.03,960,9.21,2,0
261,FULL,0.14299476146697998,0.48899819614462736,0.06384505021520803,0.5271384563591691,,0,0.03,960,9.21,1,0
262,FULL,0.8194596171379089,1.3825925524024563,0.6906666666666667,0.7144774561029107,,0,0.03,960,9.21,2,0
263,FULL,0.786718487739563,1.376709889144353,0.8616071428571428,0.3898511471220013,,0,0.03,960,9.21,3,0
264,TILE,0.04538688436150551,0.3571077271329272,0.2529411764705882,0.46466281698715084,,0,0.03,960,9.21,0,0
265,,,,,,,0,0.03,960,9.21,0,0
266,TILE,0.4921473264694214,1.1476608751911939,0.24166666666666667,0.5708987787979874,,0,0.03,960,9.21,0,0
267,TILE,0.07332412898540497,0.42597652956881055,0.2723684210526316,0.5541748493291512,,0,0.03,960,9.21,0,0
268,FULL,0.04583943635225296,0.3032581075739407,0.05810616929698709,0.5330948230976909,,0,0.03,960,9.21,1,0
269,,,,,,,0,0.03,960,9.21,0,0
270,TILE,0.04243382811546326,0.35945530566856054,0.22853535353535354,0.5402858286710706,,0,0.03,960,9.21,0,0
271,FULL,0.8488576412200928,1.372537580750452,0.7625272331154684,0.5358572622041241,,0,0.03,960,9.21,1,0
272,FULL,0.5038363337516785,1.3836831196367296,0.8790322580645161,0.6087217892561132,,0,0.03,960,9.21,1,0
273,TILE,0.5466064810752869,1.1726875710053735,0.25752508361204013,0.5642357932848969,,0,0.03,960,9.21,0,0
274,,,,,,,0,0.03,960,9.21,0,0
275,,,,,,,0,0.03,960,9.21,0,0
276,TILE,0.6784537434577942,1.1749433171101509,0.24166666666666667,0.49324347891946146,,0,0.03,960,9.21,0,0
277,FULL,0.04700816795229912,0.3579673041852481,0.22708333333333333,0.5024125036453475,,0,0.03,960,9.21,1,0
278,FULL,0.34479162096977234,0.9985935399142184,0.24456521739130435,0.5165909218621962,,0,0.03,960,9.21,1,0
279,FULL,0.5135986804962158,1.1601750585339965,0.26136363636363635,0.5517239377989328,,0,0.03,960,9.21,2,0
280,FULL,0.03349116072058678,0.36367665570332514,0.27045454545454545,0.5496872103093475,,0,0.03,960,9.21,1,0
281,TILE,0.1380927562713623,0.5347161782750272,0.25609756097560976,0.4754479573305945,,0,0.03,960,9.21,0,0
282,TILE,0.06232818588614464,0.47114762559741286,0.47111111111111115,0.5236106940716727,,0,0.03,960,9.21,0,0
283,,,,,,,0,0.03,960,9.21,0,0
284,,,,,,,0,0.03,960,9.21,0,0
285,,,,,,,0,0.03,960,9.21,0,0
286,,,,,,,0,0.03,960,9.21,0,0
287,,,,,,,0,0.03,960,9.21,0,0
288,,,,,,,0,0.03,960,9.21,0,0
289,,,,,,,0,0.03,960,9.21,0,0
290,,,,,,,0,0.03,960,9.21,0,0
291,,,,,,,0,0.03,960,9.21,0,0
292,,,,,,,0,0.03,960,9.21,0,0
293,FULL,0.13933438062667847,0.43745651252587997,0.10085470085470086,0.24667512543760325,,0,0.03,960,9.21,2,0
294,FULL,0.2807289958000183,0.7810053576911928,0.11623931623931624,0.24394943344381761,,0,0.03,960,9.21,1,0
295,FULL,0.5122811198234558,1.0310937144767292,0.10545454545454545,0.1818034224136318,,0,0.03,960,9.21,1,0
296,,,,,,,0,0.03,960,9.21,0,0
297,,,,,,,0,0.03,960,9.21,0,0
298,,,,,,,0,0.03,960,9.21,0,0
299,,,,,,,0,0.03,960,9.21,0,0
300,,,,,,,0,0.03,960,9.21,0,0
301,,,,,,,0,0.03,960,9.21,0,0
302,,,,,,,0,0.03,960,9.21,0,0
303,TILE,0.47763457894325256,1.286309878797593,0.7508960573476702,0.4105606443166577,,0,0.03,960,9.21,0,0
304,,,,,,,0,0.03,960,9.21,0,0
